序号,单词,词性,音标,中文意思,简易英文例句,主题
1,abandon,v.,/əˈbændən/,放弃，抛弃,Never abandon your dreams.,个人情况与情感
2,ability,n.,/əˈbɪləti/,能力；才能,She has the ability to speak three languages.,个人情况与情感
3,able,adj.,/ˈeɪbl/,能够；有能力的,He is able to swim across the wide river.,个人情况与情感
4,abnormal,adj.,/æbˈnɔːml/,反常的，变态的,The sudden cold weather is abnormal for May.,自然、环境与航天
5,aboard,prep./adv.,/əˈbɔːd/,在船(飞机、车)上,Welcome aboard the flight to London.,旅游、交通与综合高频
6,abolish,v.,/əˈbɒlɪʃ/,废除，取消,The old law was abolished last year.,历史、社会与政治
7,about,prep./adv.,/əˈbaʊt/,关于；大约,We are talking about our high school exams.,语言、逻辑与哲学
8,above,prep./adj.,/əˈbʌv/,在...上面；上面的,The plane flew above the thick clouds.,空间定位与方向
9,abroad,adv.,/əˈbrۆd/,在国外，到国外,His ambition is to study abroad next year.,旅游、交通与综合高频
10,absence,n.,/ˈæbsəns/,不在，缺席,The teacher noticed his absence from class.,学校生活与教育
11,absent,adj.,/ˈæbsənt/,缺席的，不在的,Why were you absent from the meeting yesterday?,学校生活与教育
12,absolute,adj.,/ˈæbsəluːt/,绝对的，完全的,You must keep it an absolute secret.,语言、逻辑与哲学
13,absorb,v.,/əbˈzɔːb/,吸收；吸引,Plants absorb nutrients and water from the soil.,自然、环境与航天
14,abstract,adj.,/ˈæbstrækt/,抽象的,Time is a very abstract concept for young kids.,语言、逻辑与哲学
15,absurd,adj.,/əbˈsɜːd/,荒谬的，可笑的,It is absurd to go out in such a heavy storm.,个人情况与情感
16,abundant,adj.,/əˈbʌndənt/,丰富的，充裕的,The river is abundant in various kinds of fish.,自然、环境与航天
17,abuse,v./n.,/əˈbjuːz/,滥用；虐待,We should not abuse our natural resources.,自然、环境与航天
18,academic,adj.,/ˌækəˈdemɪk/,学术的；学校的,He achieved great academic success.,学校生活与教育
19,academy,n.,/əˈkædəmi/,研究院；学会,He was elected to the academy of sciences.,学校生活与教育
20,accelerate,v.,/əkˈseləreɪt/,加速，加快,The driver accelerated the car to pass the truck.,科技、网络与现代生活
21,accent,n.,/ˈæksent/,口音，腔调,He speaks English with a strong local accent.,语言、逻辑与哲学
22,accept,v.,/əkˈsept/,接受，认可,She happily accepted his invitation to dinner.,人际关系与社交
23,access,n./v.,/ˈækses/,通道；接近的机会,Students have free access to the library.,学校生活与教育
24,accessible,adj.,/əkˈsesəbl/,可接近的；可进去的,The remote mountain village is now accessible by car.,旅游、交通与综合高频
25,accident,n.,/ˈæksɪdənt/,事故，意外,He was injured in a serious traffic accident.,旅游、交通与综合高频
26,accommodation,n.,/əˌkɒməˈdeɪʃn/,住宿，膳宿,The hotel provides excellent accommodation.,旅游、交通与综合高频
27,accompany,v.,/əˈkʌmpəni/,陪伴，伴随,He accompanied his friend to the doctor.,人际关系与社交
28,accomplish,v.,/əˈkʌmplɪʃ/,完成，实现,We can accomplish this difficult task together.,个人情况与情感
29,according to,prep.,/əˈkɔːdɪŋ tuː/,根据，按照,"According to the timetable, the train leaves at 8.",语言、逻辑与哲学
30,account,n./v.,/əˈkaʊnt/,账户；说明；解释,Please open a bank account online.,经济、商务与财政
31,accurate,adj.,/ˈækjərət/,精确的，准确的,The weather forecast is usually accurate.,科技、网络与现代生活
32,accuse,v.,/əˈkjuːz/,控告，谴责,He was accused of stealing the wallet.,历史、社会与政治
33,accustomed,adj.,/əˈkʌstəmd/,习惯的，适应的,She quickly became accustomed to the new life.,个人情况与情感
34,ache,v./n.,/eɪk/,疼痛,His head aches terribly after a long walk.,饮食、健康与运动
35,achieve,v.,/əˈtʃiːv/,达到，取得,No one can achieve success without hard work.,学校生活与教育
36,achievement,n.,/əˈtʃiːvmənt/,成就，成绩,Passing the exam is a great achievement.,学校生活与教育
37,acid,n./adj.,/ˈæsɪd/,酸；酸性的,Lemon juice contains a kind of natural acid.,自然、环境与航天
38,acknowledge,v.,/əkˈnɒlɪdʒ/,承认；告知收到,He acknowledged that he had made a mistake.,语言、逻辑与哲学
39,acquaintance,n.,/əˈkweɪntəns/,熟人，了解,He has a wide circle of acquaintances.,人际关系与社交
40,acquire,v.,/əˈkwaɪə(r)/,获得，学到,She acquired a good knowledge of English.,学校生活与教育
41,acquisition,n.,/ˌækwɪˈzɪʃn/,获得；获得物,The acquisition of a new language takes time.,学校生活与教育
